985306706400788480,Eastern Time (US & Canada),2018-04-14 23:59:59,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306706325286912,Eastern Time (US & Canada),2018-04-14 23:59:59,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306705604108289,Quito,2018-04-14 23:59:59,0,0,b'The wizards will be better off putting the ball in Bradley Beal\xe2\x80\x99s hand for  entire 4th quarters. When it comes to d\xe2\x80\xa6 https://t.co/kWwLlZaejK',[]
985306703372738560,Eastern Time (US & Canada),2018-04-14 23:59:58,0,0,b'The NBA need new refs pronto cause this shit getting op now',[]
985306700231176192,,2018-04-14 23:59:58,0,51,"b'RT @Insider6ix: This is why NBA officiating needs to be reviewed, bad call. https://t.co/AIg8nXosJn'",[]
985306698746232832,,2018-04-14 23:59:57,0,187,b'RT @NBA: KLow double clutches to the rim!\n\n#WeTheNorth @ESPNNBA https://t.co/vIp00FbuXE',"[{'text': 'WeTheNorth', 'indices': [43, 54]}]"
985306697488125952,Pacific Time (US & Canada),2018-04-14 23:59:57,0,0,"b'I added a video to a @YouTube playlist https://t.co/OQYrthPEeK [FREE] ""Finer Things"" Lil Baby x NBA YoungBoy Type Beat (Prod.RellyMade'",[]
985306697244782592,,2018-04-14 23:59:57,0,0,b'Play offs @NBA \xe2\x80\x94 watching Washington Wizards vs Toronto Raptors',[]
985306697211269120,Pacific Time (US & Canada),2018-04-14 23:59:57,0,0,b'Refs Miss Clear Basket Interference! Raptors vs Wizards Game 1 NBA Playoffs 2018: https://t.co/hKCZ4S0ao8 via @YouTube',[]
985306697173553152,Pacific Time (US & Canada),2018-04-14 23:59:57,6,0,b'Hot take: John Wall is the most overrated player in the NBA',[]
985306696041029632,Central Time (US & Canada),2018-04-14 23:59:57,0,0,b'John Wall gets zero respect from NBA refs.',[]
985306693889413120,,2018-04-14 23:59:56,0,81,b'RT @NBA: Mike Scott climbs the ladder! \xf0\x9f\x91\x80\n\n9-0 run for the @WashWizards in Q2 on ESPN.\n\n#DCFamily https://t.co/JyETzivFrX',"[{'text': 'DCFamily', 'indices': [87, 96]}]"
985306693327175680,Eastern Time (US & Canada),2018-04-14 23:59:56,0,0,"b""Play smart. Use the clock, DON'T TURN THE BALL OVER! #Raptors #WeTheNorth #NorthOverEverything #NBA #NBAPlayoffs""","[{'text': 'Raptors', 'indices': [53, 61]}, {'text': 'WeTheNorth', 'indices': [62, 73]}, {'text': 'NorthOverEverything', 'indices': [74, 94]}, {'text': 'NBA', 'indices': [95, 99]}, {'text': 'NBAPlayoffs', 'indices': [100, 112]}]"
985306692127686658,Quito,2018-04-14 23:59:56,0,0,b'NBA playoffs and finishing my paper! Sounds like a lit night! Only thing missing if having my feet rubbed during the whole thing\xf0\x9f\x98\xa9\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd',[]
985306691750129665,Arizona,2018-04-14 23:59:56,0,57031,b'RT @LakeShowYo: Tristan Thompson really cheated on Khloe 4 days before NBA playoffs start so the Cavs could avoid the Kardashian curse.\nWha\xe2\x80\xa6',[]
985306691720892416,Eastern Time (US & Canada),2018-04-14 23:59:56,0,0,b'I picked the Toronto Raptors to be champions in the new #NBABracketChallenge! What does your #NBAPlayoffs bracket l\xe2\x80\xa6 https://t.co/AD9lw5PK6t',"[{'text': 'NBABracketChallenge', 'indices': [56, 76]}, {'text': 'NBAPlayoffs', 'indices': [93, 105]}]"
985306691716579328,Hong Kong,2018-04-14 23:59:56,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306690034851840,Eastern Time (US & Canada),2018-04-14 23:59:55,4,0,b'Thinking about putting up an NBA playoffs game thread over @redlegnation tonight. The natives are restless. They need a diversion.',[]
985306689804161024,Central Time (US & Canada),2018-04-14 23:59:55,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
985306688747196419,,2018-04-14 23:59:55,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
985306683072278529,Pacific Time (US & Canada),2018-04-14 23:59:54,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306682908700672,,2018-04-14 23:59:53,0,2,b'RT @terry_rozier: @BR_NBA Andre Ingram is better',[]
985306682807877632,,2018-04-14 23:59:53,0,0,b'@NBA fuck the refs. Call a fair game @JohnWall @nbarefs_',[]
