No.,Stadiums,Location,Team(s),Capacity,Opened
1,Air Canada Centre,"Toronto, Ontario",Toronto Raptors,"19,800",1999
2,AmericanAirlines Arena,"Miami, Florida",Miami Heat,"19,600",1999
3,American Airlines Center,"Dallas, Texas",Dallas Mavericks,"19,200",2001
4,Amway Center,"Orlando, Florida",Orlando Magic,"18,846",2010
5,AT&T Center,"San Antonio, Texas",San Antonio Spurs,"18,418",2002
6,Bankers Life Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,"17,923",1999
7,Barclays Center,"Brooklyn, New York",Brooklyn Nets,"17,732",2012
8,Bradley Center,"Milwaukee, Wisconsin",Milwaukee Bucks,"18,717",1988
9,Capital One Arena,"Washington, D.C.",Washington Wizards,"20,356",1997
10,Chesapeake Energy Arena,"Oklahoma City, Oklahoma",Oklahoma City Thunder,"18,203",2002
11,FedExForum,"Memphis, Tennessee",Memphis Grizzlies,"18,119",2004
12,Golden 1 Center,"Sacramento, California",Sacramento Kings,"17,608",2016
13,Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,"20,491",2017
14,Madison Square Garden,"New York, New York",New York Knicks,"19,812",1968
15,Moda Center,"Portland, Oregon",Portland Trail Blazers,"19,980",1995
16,Oracle Arena,"Oakland, California",Golden State Warriors,"19,596",1966
17,Pepsi Center,"Denver, Colorado",Denver Nuggets,"19,155",1999
18,Philips Arena,"Atlanta, Georgia",Atlanta Hawks,"18,118",1999
19,Quicken Loans Arena,"Cleveland, Ohio",Cleveland Cavaliers,"20,562",1994
20,Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,"16,867",1999
21,Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,"19,077",2005
22, Staples Center," Los Angeles, California", Los Angeles Lakers,"18,997",1999
23, Staples Center," Los Angeles, California", Los Angeles Clippers,"19,060",1999
24,Talking Stick Resort Arena,"Phoenix, Arizona",Phoenix Suns,"18,422",1992
25,Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,"19,356",1990
26,TD Garden,"Boston, Massachusetts",Boston Celtics,"18,624",1995
27,Toyota Center,"Houston, Texas",Houston Rockets,"18,055",2003
28,United Center,"Chicago, Illinois",Chicago Bulls,"20,917",1994
29,Vivint Smart Home Arena,"Salt Lake City, Utah",Utah Jazz,"18,303",1991
30,Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia 76ers,"20,328",1996
