id,post_id,message,link_name,link_type,link,created_at,likes,comments,shares
0,8245623462_10156434716753463,"b""Ahead of Houston Rockets x Minnesota Timberwolves Game 2 (9:30 pm/et, NBA on TNT) ... it's the BEST plays from James Harden's SPECTACULAR season! Who's winning tonight?? #NBAPlayoffs""","b'BEST OF BEARD: James Harden Dishes, Dunks & Eurosteps To Amazing Year'",video,https://www.facebook.com/nba/videos/10156434716753463/,2018/4/18 13:00,201,8,23
1,8245623462_10156432020718463,"b'\xf0\x9f\x96\x8a\xef\xb8\x8f Complete the sentence: after 36 PTS in Game 1, Paul George will have ______________ in Oklahoma City Thunder x Utah Jazz Game 2 TONIGHT. (8 pm/et, NBA TV)'",b'Paul George Plays Lights Out Game 1',video,https://www.facebook.com/nba/videos/10156432020718463/,2018/4/18 12:00,539,59,56
2,8245623462_10156434677093463,"b""\xf0\x9f\x91\x91 x \xf0\x9f\x9b\xab THE BEST buckets from LeBron James & Michael Jordan's #NBAPlayoffs careers, after King James moved past MJ into 2nd in postseason FG's in Game 1.\n\n\xf0\x9f\x8f\x80: Cleveland Cavaliers x Indiana Pacers Game 2\n\xf0\x9f\x93\xba: NBA on TNT\n\xe2\x8f\xb1\xef\xb8\x8f: 7 pm/et""","b""Michael Jordan & LeBron James' Greatest Playoff Baskets""",video,https://www.facebook.com/nba/videos/10156434677093463/,2018/4/18 11:00,2741,179,474
3,8245623462_10156432046123463,"b""After LeBron James passed MJ in career postseason FG's...wind back the BEST play from each of MICHAEL JORDAN's #NBAPlayoffs appearances, from '85 to '98!""","b""Michael Jordan's BEST PLAY From Each Playoff Appearance""",video,https://www.facebook.com/nba/videos/10156432046123463/,2018/4/18 10:00,9118,353,2336
4,8245623462_10156432163483463,"b""3\xef\xb8\x8f\xe2\x83\xa3 GAME 2\xef\xb8\x8f\xe2\x83\xa3s on Wednesday!\n\n7 pm/et - Cleveland Cavaliers x Indiana Pacers, NBA on TNT\n8 pm/et - Oklahoma City Thunder x Utah Jazz, NBA TV\n9:30 pm/et - Houston Rockets x Minnesota Timberwolves, NBA on TNT\n\nWho's winning tonight??""","b""Photos from NBA's post""",photo,https://www.facebook.com/nba/photos/a.90133653462.85142.8245623462/10156432153328463/?type=3,2018/4/18 9:00,2575,97,240
5,8245623462_10156433570088463,b'The most dynamic plays from Jaylen Brown & Terry Rozier as they led the Boston Celtics to a 2-0 series advantage!',b'Best plays from Brown & Rozier in Games 1 & 2',video,https://www.facebook.com/nba/videos/10156433570088463/,2018/4/18 8:00,2940,66,185
6,8245623462_10156433430113463,"b""After leading the New Orleans Pelicans to a 2-0 series lead, take a look back at Anthony Davis' most athletic oops!""","b""The 6-10 Acrobatic: Anthony Davis' Most Athletic Alley-Oops""",video,https://www.facebook.com/nba/videos/10156433430113463/,2018/4/18 7:00,2223,45,142
7,8245623462_10156432128528463,"b'Stephen Curry, LeBron James, Kevin Durant, Giannis Antetokounmpo, Kyrie Irving and the TOP PLAYS from the players with the Top 15 most popular jerseys based on NBAStore.com sales since the start of the 2017-18 season!'",b'Top Plays From Players With The Top 15 Most Popular Jerseys',video,https://www.facebook.com/nba/videos/10156432128528463/,2018/4/18 5:30,8194,105,907
8,8245623462_10156433459163463,"b""After leading the New Orleans Pelicans to a 2-0 series lead, take a look back at Jrue Holiday' most athletic plays of the year!""","b""Jrue Holiday's most athletic plays of the year!""",video,https://www.facebook.com/nba/videos/10156433459163463/,2018/4/18 4:30,2204,41,110
9,8245623462_10156433453993463,"b'Rajon Rondo (16 PTS, 10 REB, 9 AST) fell a dime short of a triple-double as the New Orleans Pelicans won Game 2 for a 2-0 series lead!'",b'Rondo flirts with triple-double in Game 2',video,https://www.facebook.com/nba/videos/10156433453993463/,2018/4/18 3:30,6020,150,380
